
# OSU MPI-CUDA Allreduce Latency Test v5.6.1
# Size       Avg Latency(us)
4                      59.50
8                      59.46
16                     59.27
32                     59.93
64                     59.24
128                    59.56
256                    59.73
512                    65.81
1024                   61.26
2048                   65.95
4096                   69.52
8192                   76.46
16384                  88.33
32768                 108.68
65536                 146.53
131072                189.40
262144                266.40
524288                453.85
1048576               776.22
