rank   0 of   2 on lassen5
allocate_device_buffer 4194304
rank   1 of   2 on lassen5
allocate_device_buffer 4194304
allocate_device_buffer 4194304
allocate_device_buffer 4194304
process_options arg d
# OSU MPI-CUDA Latency Test v5.6.1
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       0.88
1                      19.03
2                      18.96
4                      18.96
8                      19.07
16                     19.40
32                     19.46
64                     19.39
128                    19.38
256                    19.49
512                    19.41
1024                   19.44
2048                   19.40
4096                   19.39
8192                   19.48
16384                  19.43
32768                  19.70
65536                  20.33
131072                 21.92
262144                 25.13
524288                 31.54
1048576                44.91
2097152                69.94
4194304               121.79
process_options arg d
