rank   1 of   2 on lassen2
allocate_device_buffer 4194304
rank   0 of   2 on lassen2
allocate_device_buffer 4194304
allocate_device_buffer 4194304
allocate_device_buffer 4194304
process_options arg d
# OSU MPI-CUDA Latency Test v5.6.1
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       0.31
1                      18.27
2                      18.36
4                      18.38
8                      18.29
16                     18.29
32                     18.29
64                     18.30
128                    18.28
256                    18.36
512                    18.36
1024                   18.25
2048                   18.37
4096                   18.26
8192                   18.32
16384                  18.25
32768                  18.26
65536                  18.40
131072                 19.50
262144                 21.46
524288                 25.27
1048576                33.04
2097152                47.85
4194304                78.53
process_options arg d
